,author_id,id,created_at,text
1,916261217278275584,1222988733672304647,2020-01-30T21:03:30.000Z,"Mind your business,mind your business,the whole world kept quiet when China was eating bat,cockroach,millipede,rat,etc. Now see where we are. Even in Nigeria local man can't find mask for hamarttan dust. Don't just mind your business;if you see something,say something."
2,722534436429021185,1241386455647301633,2020-03-21T15:29:29.000Z,@SenWarren CCP VIRUS=CHINESE COMMUNIST PARTY VIRUS.YOUR POLITICAL CORRECTNESS SHALL BURY ALL.
3,3472153392,1243197974836109312,2020-03-26T15:27:49.000Z,"#ChineseVirus China people stop eating everything like Mice, bats, frogs, snakes, cockroaches, dogs, and scorpions, 🤢🤢🤢🤢
You can eat sheep meat, chicken and fish, it is really helpful"
4,789081144536903680,1238063371003428866,2020-03-12T11:24:44.000Z,"#fuckchina
#fuckchina
#fuckchina
Dun use racist to protect China
That fking country deserves the world's anger. https://t.co/yD1VnsmdIr"
5,329119707,1246373362588360704,2020-04-04T09:45:40.000Z,"The Chinese Communist Party's goal is to put an end to the ""Century of Humiliation"" at all costs.

Hence their most recent, shameless acts :

- Slow-Mo seizure of #WHOops (WHO).
- Purposeful release of the #CCPVirus.
- Hijacking of #UNHRC.

The #KungFlu is not going to end well ! https://t.co/FxXv7oi2pq"
6,1120077618076880897,1240239354074877954,2020-03-18T11:31:19.000Z,@qiqi24286745 @XHNews @ItalyinChina China is a biggest liar in the world. World don’t truth China. China made #ChineseVirus.
7,460473196,1240081864343400451,2020-03-18T01:05:30.000Z,"All this chaos in the world, cause some chinese mfs had to eat bats and shit fuck you china u fuckin up the bag"
8,845181925,1246683831001726977,2020-04-05T06:19:22.000Z,"@majorgauravarya You will pay if you still deal with communist party CCP! Keep in mind the virus is produced by CCP regime, not China or normal Chinese people. You want save lives, let more people know the truth in u country #CCPVirus #CCPisnotChinese #CCPLiedPeopleDied"
9,4095057792,1244798570458480641,2020-03-31T01:28:01.000Z,"And of course we all believe what the #CCP says about anything, they would never lie would they? #ChinaLiedPeopleDied #ChinaMintioGenteMurio #KungFlu #CCPVirus #ChineseVirus https://t.co/2mZZICRwvz"
10,864201089163313152,1246966059447603200,2020-04-06T01:00:50.000Z,"The Communist Party which occupied China's mainland, has been systematically hijacked Chinese Language since 1949.  This is a very important knowledge for the world to understand How CP put its influence on every Chinese Language users, no matter they live domestically or abroad"
11,1583912702,1240563441112244224,2020-03-19T08:59:07.000Z,"@AbhijitChavda @AdityaAathalye @Twitter @jack China you have been eating every reptile, animals and birds too.😡

You cook them alive. Heartless People.😡

Be ready, Your next generation may go Cannibals.

You are not Humanitarian race.
#ChinaVirus 
 https://t.co/4MdJ3JTqld"
12,279726380,1244717346905874432,2020-03-30T20:05:15.000Z,The Communist Party of China attacked the world with a human bioweapon... https://t.co/wipe2t3RQt
13,1140167178886537217,1249800548800507909,2020-04-13T20:44:05.000Z,If I speakkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkk https://t.co/apDvA1PTrO
